Data,Ente,Ambito,Candidato_Riferimento,Lista/Partito,Voti,Percentuale
25/09/2022,Villa Cortese,Comunale,RAVETTO LAURA,Voti candidato uninominale,,"53,93"
25/09/2022,Villa Cortese,Comunale,RAVETTO LAURA,FRATELLI D'ITALIA CON GIORGIA MELONI,967,"29,89"
25/09/2022,Villa Cortese,Comunale,RAVETTO LAURA,LEGA PER SALVINI PREMIER,552,"17,06"
25/09/2022,Villa Cortese,Comunale,RAVETTO LAURA,FORZA ITALIA,249,"7,70"
25/09/2022,Villa Cortese,Comunale,RAVETTO LAURA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,12,"0,37"
25/09/2022,Villa Cortese,Comunale,BETTINELLI SARA,Voti candidato uninominale,,"26,25"
25/09/2022,Villa Cortese,Comunale,BETTINELLI SARA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,633,"19,57"
25/09/2022,Villa Cortese,Comunale,BETTINELLI SARA,ALLEANZA VERDI E SINISTRA,93,"2,87"
25/09/2022,Villa Cortese,Comunale,BETTINELLI SARA,+EUROPA,87,"2,69"
25/09/2022,Villa Cortese,Comunale,BETTINELLI SARA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,6,"0,19"
25/09/2022,Villa Cortese,Comunale,SFONDRINI ANDREA,Voti candidato uninominale,,"7,84"
25/09/2022,Villa Cortese,Comunale,SFONDRINI ANDREA,AZIONE - ITALIA VIVA - CALENDA,250,"7,73"
25/09/2022,Villa Cortese,Comunale,OLGIATI RICCARDO,Voti candidato uninominale,,"7,23"
25/09/2022,Villa Cortese,Comunale,OLGIATI RICCARDO,MOVIMENTO 5 STELLE,232,"7,17"
25/09/2022,Villa Cortese,Comunale,ROGGIA ALESSANDRA,Voti candidato uninominale,,"1,72"
25/09/2022,Villa Cortese,Comunale,ROGGIA ALESSANDRA,ITALEXIT PER L'ITALIA,56,"1,73"
25/09/2022,Villa Cortese,Comunale,GRATTAROLA ANDREA,Voti candidato uninominale,,"1,22"
25/09/2022,Villa Cortese,Comunale,GRATTAROLA ANDREA,ITALIA SOVRANA E POPOLARE,42,"1,30"
25/09/2022,Villa Cortese,Comunale,AMANN STEFANO,Voti candidato uninominale,,"0,99"
25/09/2022,Villa Cortese,Comunale,AMANN STEFANO,UNIONE POPOLARE CON DE MAGISTRIS,32,"0,99"
25/09/2022,Villa Cortese,Comunale,FORLINI LUISA,Voti candidato uninominale,,"0,55"
25/09/2022,Villa Cortese,Comunale,FORLINI LUISA,VITA,15,"0,46"
25/09/2022,Villa Cortese,Comunale,MARTUCCI ERMINIO,Voti candidato uninominale,,"0,26"
25/09/2022,Villa Cortese,Comunale,MARTUCCI ERMINIO,MASTELLA NOI DI CENTRO EUROPEISTI,9,"0,28"
25/09/2022,ITALIA,Nazionale,RAVETTO LAURA,Voti candidato uninominale,,"53,93"
25/09/2022,ITALIA,Nazionale,RAVETTO LAURA,FRATELLI D'ITALIA CON GIORGIA MELONI,967,"29,89"
25/09/2022,ITALIA,Nazionale,RAVETTO LAURA,LEGA PER SALVINI PREMIER,552,"17,06"
25/09/2022,ITALIA,Nazionale,RAVETTO LAURA,FORZA ITALIA,249,"7,70"
25/09/2022,ITALIA,Nazionale,RAVETTO LAURA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,12,"0,37"
25/09/2022,ITALIA,Nazionale,BETTINELLI SARA,Voti candidato uninominale,,"26,25"
25/09/2022,ITALIA,Nazionale,BETTINELLI SARA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,633,"19,57"
25/09/2022,ITALIA,Nazionale,BETTINELLI SARA,ALLEANZA VERDI E SINISTRA,93,"2,87"
25/09/2022,ITALIA,Nazionale,BETTINELLI SARA,+EUROPA,87,"2,69"
25/09/2022,ITALIA,Nazionale,BETTINELLI SARA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,6,"0,19"
25/09/2022,ITALIA,Nazionale,SFONDRINI ANDREA,Voti candidato uninominale,,"7,84"
25/09/2022,ITALIA,Nazionale,SFONDRINI ANDREA,AZIONE - ITALIA VIVA - CALENDA,250,"7,73"
25/09/2022,ITALIA,Nazionale,OLGIATI RICCARDO,Voti candidato uninominale,,"7,23"
25/09/2022,ITALIA,Nazionale,OLGIATI RICCARDO,MOVIMENTO 5 STELLE,232,"7,17"
25/09/2022,ITALIA,Nazionale,ROGGIA ALESSANDRA,Voti candidato uninominale,,"1,72"
25/09/2022,ITALIA,Nazionale,ROGGIA ALESSANDRA,ITALEXIT PER L'ITALIA,56,"1,73"
25/09/2022,ITALIA,Nazionale,GRATTAROLA ANDREA,Voti candidato uninominale,,"1,22"
25/09/2022,ITALIA,Nazionale,GRATTAROLA ANDREA,ITALIA SOVRANA E POPOLARE,42,"1,30"
25/09/2022,ITALIA,Nazionale,AMANN STEFANO,Voti candidato uninominale,,"0,99"
25/09/2022,ITALIA,Nazionale,AMANN STEFANO,UNIONE POPOLARE CON DE MAGISTRIS,32,"0,99"
25/09/2022,ITALIA,Nazionale,FORLINI LUISA,Voti candidato uninominale,,"0,55"
25/09/2022,ITALIA,Nazionale,FORLINI LUISA,VITA,15,"0,46"
25/09/2022,ITALIA,Nazionale,MARTUCCI ERMINIO,Voti candidato uninominale,,"0,26"
25/09/2022,ITALIA,Nazionale,MARTUCCI ERMINIO,MASTELLA NOI DI CENTRO EUROPEISTI,9,"0,28"
04/03/2018,Villa Cortese,Comunale,BRAMBILLA MICHELA VITTORIA,Voti candidato uninominale,,"49,12"
04/03/2018,Villa Cortese,Comunale,BRAMBILLA MICHELA VITTORIA,LEGA,1207,"31,37"
04/03/2018,Villa Cortese,Comunale,BRAMBILLA MICHELA VITTORIA,FORZA ITALIA,539,"14,01"
04/03/2018,Villa Cortese,Comunale,BRAMBILLA MICHELA VITTORIA,FRATELLI D'ITALIA CON GIORGIA MELONI,128,"3,33"
04/03/2018,Villa Cortese,Comunale,BRAMBILLA MICHELA VITTORIA,NOI CON L'ITALIA - UDC,34,"0,88"
04/03/2018,Villa Cortese,Comunale,PRINA FRANCESCO,Voti candidato uninominale,,"24,42"
04/03/2018,Villa Cortese,Comunale,PRINA FRANCESCO,PARTITO DEMOCRATICO,822,"21,36"
04/03/2018,Villa Cortese,Comunale,PRINA FRANCESCO,+EUROPA,87,"2,26"
04/03/2018,Villa Cortese,Comunale,PRINA FRANCESCO,ITALIA EUROPA INSIEME,22,"0,57"
04/03/2018,Villa Cortese,Comunale,PRINA FRANCESCO,CIVICA POPOLARE LORENZIN,11,"0,29"
04/03/2018,Villa Cortese,Comunale,IPPOLITO FRANCESCO,Voti candidato uninominale,,"22,26"
04/03/2018,Villa Cortese,Comunale,IPPOLITO FRANCESCO,MOVIMENTO 5 STELLE,842,"21,88"
04/03/2018,Villa Cortese,Comunale,DAL TOSO MARCO SERENO,Voti candidato uninominale,,"1,78"
04/03/2018,Villa Cortese,Comunale,DAL TOSO MARCO SERENO,LIBERI E UGUALI,66,"1,72"
04/03/2018,Villa Cortese,Comunale,CASARI STEFANO,Voti candidato uninominale,,"1,22"
04/03/2018,Villa Cortese,Comunale,CASARI STEFANO,CASAPOUND ITALIA,46,"1,20"
04/03/2018,Villa Cortese,Comunale,CONTIERO NAOMI,Voti candidato uninominale,,"0,69"
04/03/2018,Villa Cortese,Comunale,CONTIERO NAOMI,POTERE AL POPOLO!,26,"0,68"
04/03/2018,Villa Cortese,Comunale,CHIAPPANO PIERO,Voti candidato uninominale,,"0,30"
04/03/2018,Villa Cortese,Comunale,CHIAPPANO PIERO,IL POPOLO DELLA FAMIGLIA,10,"0,26"
04/03/2018,Villa Cortese,Comunale,RICCI GIOVANNI NICOLO',Voti candidato uninominale,,"0,10"
04/03/2018,Villa Cortese,Comunale,RICCI GIOVANNI NICOLO',10 VOLTE MEGLIO,4,"0,10"
04/03/2018,Villa Cortese,Comunale,VIVALDI FEDERICO,Voti candidato uninominale,,"0,10"
04/03/2018,Villa Cortese,Comunale,VIVALDI FEDERICO,PARTITO REPUBBLICANO ITALIANO - ALA,4,"0,10"
04/03/2018,ITALIA,Nazionale,BRAMBILLA MICHELA VITTORIA,Voti candidato uninominale,,"49,12"
04/03/2018,ITALIA,Nazionale,BRAMBILLA MICHELA VITTORIA,LEGA,1207,"31,37"
04/03/2018,ITALIA,Nazionale,BRAMBILLA MICHELA VITTORIA,FORZA ITALIA,539,"14,01"
04/03/2018,ITALIA,Nazionale,BRAMBILLA MICHELA VITTORIA,FRATELLI D'ITALIA CON GIORGIA MELONI,128,"3,33"
04/03/2018,ITALIA,Nazionale,BRAMBILLA MICHELA VITTORIA,NOI CON L'ITALIA - UDC,34,"0,88"
04/03/2018,ITALIA,Nazionale,PRINA FRANCESCO,Voti candidato uninominale,,"24,42"
04/03/2018,ITALIA,Nazionale,PRINA FRANCESCO,PARTITO DEMOCRATICO,822,"21,36"
04/03/2018,ITALIA,Nazionale,PRINA FRANCESCO,+EUROPA,87,"2,26"
04/03/2018,ITALIA,Nazionale,PRINA FRANCESCO,ITALIA EUROPA INSIEME,22,"0,57"
04/03/2018,ITALIA,Nazionale,PRINA FRANCESCO,CIVICA POPOLARE LORENZIN,11,"0,29"
04/03/2018,ITALIA,Nazionale,IPPOLITO FRANCESCO,Voti candidato uninominale,,"22,26"
04/03/2018,ITALIA,Nazionale,IPPOLITO FRANCESCO,MOVIMENTO 5 STELLE,842,"21,88"
04/03/2018,ITALIA,Nazionale,DAL TOSO MARCO SERENO,Voti candidato uninominale,,"1,78"
04/03/2018,ITALIA,Nazionale,DAL TOSO MARCO SERENO,LIBERI E UGUALI,66,"1,72"
04/03/2018,ITALIA,Nazionale,CASARI STEFANO,Voti candidato uninominale,,"1,22"
04/03/2018,ITALIA,Nazionale,CASARI STEFANO,CASAPOUND ITALIA,46,"1,20"
04/03/2018,ITALIA,Nazionale,CONTIERO NAOMI,Voti candidato uninominale,,"0,69"
04/03/2018,ITALIA,Nazionale,CONTIERO NAOMI,POTERE AL POPOLO!,26,"0,68"
04/03/2018,ITALIA,Nazionale,CHIAPPANO PIERO,Voti candidato uninominale,,"0,30"
04/03/2018,ITALIA,Nazionale,CHIAPPANO PIERO,IL POPOLO DELLA FAMIGLIA,10,"0,26"
04/03/2018,ITALIA,Nazionale,RICCI GIOVANNI NICOLO',Voti candidato uninominale,,"0,10"
04/03/2018,ITALIA,Nazionale,RICCI GIOVANNI NICOLO',10 VOLTE MEGLIO,4,"0,10"
04/03/2018,ITALIA,Nazionale,VIVALDI FEDERICO,Voti candidato uninominale,,"0,10"
04/03/2018,ITALIA,Nazionale,VIVALDI FEDERICO,PARTITO REPUBBLICANO ITALIANO - ALA,4,"0,10"
24/02/2013,Villa Cortese,Comunale,PIER LUIGI BERSANI,Voti candidato uninominale,,
24/02/2013,Villa Cortese,Comunale,PIER LUIGI BERSANI,PARTITO DEMOCRATICO,1018,"25,69"
24/02/2013,Villa Cortese,Comunale,PIER LUIGI BERSANI,SINISTRA ECOLOGIA LIBERTA',78,"1,97"
24/02/2013,Villa Cortese,Comunale,PIER LUIGI BERSANI,CENTRO DEMOCRATICO,4,"0,10"
24/02/2013,Villa Cortese,Comunale,SILVIO BERLUSCONI,Voti candidato uninominale,,
24/02/2013,Villa Cortese,Comunale,SILVIO BERLUSCONI,IL POPOLO DELLA LIBERTA',792,"19,99"
24/02/2013,Villa Cortese,Comunale,SILVIO BERLUSCONI,LEGA NORD,610,"15,40"
