Data,Ente,Ambito,Candidato_Riferimento,Lista/Partito,Voti,Percentuale
03/10/2021,Villa Cortese,Comunale,BARLOCCO ALESSANDRO,Voti candidato Sindaco,,"67,39"
03/10/2021,Villa Cortese,Comunale,BARLOCCO ALESSANDRO,INSIEME PER VILLA,8,"67,39"
03/10/2021,Villa Cortese,Comunale,IURA KATIA,Voti candidato Sindaco,,"32,61"
03/10/2021,Villa Cortese,Comunale,IURA KATIA,FORZA ITALIA-LEGA SALVINI LOMBARDIA-FRATELLI D'ITALIA,4,"32,61"
05/06/2016,Villa Cortese,Comunale,BARLOCCO ALESSANDRO,Voti candidato Sindaco,,"55,68"
05/06/2016,Villa Cortese,Comunale,BARLOCCO ALESSANDRO,INSIEME PER VILLA,8,"55,68"
05/06/2016,Villa Cortese,Comunale,CASTIGLIONI NADIA CARLA,Voti candidato Sindaco,,"44,32"
05/06/2016,Villa Cortese,Comunale,CASTIGLIONI NADIA CARLA,NUOVAMENTE VILLA,4,"44,32"
15/05/2011,Villa Cortese,Comunale,ALBORGHETTI GIOVANNI,Voti candidato Sindaco,,"52,74"
15/05/2011,Villa Cortese,Comunale,ALBORGHETTI GIOVANNI,INSIEME PER VILLA,8,"52,74"
15/05/2011,Villa Cortese,Comunale,CRESPI MASSIMILIANO GIOVANNI,Voti candidato Sindaco,,"47,26"
15/05/2011,Villa Cortese,Comunale,CRESPI MASSIMILIANO GIOVANNI,IL POPOLO DELLA LIBERTA' - LEGA NORD,4,"47,26"
28/05/2006,Villa Cortese,Comunale,ALBORGHETTI GIOVANNI,Voti candidato Sindaco,,"52,61"
28/05/2006,Villa Cortese,Comunale,ALBORGHETTI GIOVANNI,INSIEME,11,"52,61"
28/05/2006,Villa Cortese,Comunale,TONIOLO EDMIRO,Voti candidato Sindaco,,"47,39"
28/05/2006,Villa Cortese,Comunale,TONIOLO EDMIRO,LISTA CIVICA,5,"47,39"
13/05/2001,Villa Cortese,Comunale,DELL'ACQUA BRUNO,Voti candidato Sindaco,,"58,39"
13/05/2001,Villa Cortese,Comunale,DELL'ACQUA BRUNO,LISTA CIVICA,11,"58,39"
13/05/2001,Villa Cortese,Comunale,VERSACI VINCENZO,Voti candidato Sindaco,,"41,61"
13/05/2001,Villa Cortese,Comunale,VERSACI VINCENZO,LISTA CIVICA,5,"41,61"
