Data,Ente,Ambito,Candidato_Riferimento,Lista/Partito,Voti,Percentuale
09/06/2024,Villa Cortese,Comunale,N/D,FRATELLI D'ITALIA,1080,"38,92"
09/06/2024,Villa Cortese,Comunale,N/D,PARTITO DEMOCRATICO,581,"20,94"
09/06/2024,Villa Cortese,Comunale,N/D,LEGA SALVINI PREMIER,327,"11,78"
09/06/2024,Villa Cortese,Comunale,N/D,FORZA ITALIA - NOI MODERATI - PPE,228,"8,22"
09/06/2024,Villa Cortese,Comunale,N/D,MOVIMENTO 5 STELLE,164,"5,91"
09/06/2024,Villa Cortese,Comunale,N/D,ALLEANZA VERDI E SINISTRA,151,"5,44"
09/06/2024,Villa Cortese,Comunale,N/D,AZIONE - SIAMO EUROPEI,109,"3,93"
09/06/2024,Villa Cortese,Comunale,N/D,STATI UNITI D'EUROPA,63,"2,27"
09/06/2024,Villa Cortese,Comunale,N/D,PACE TERRA DIGNITA',42,"1,51"
09/06/2024,Villa Cortese,Comunale,N/D,LIBERTA',17,"0,61"
09/06/2024,Villa Cortese,Comunale,N/D,RASSEMBLEMENT VALDOTAIN,8,"0,29"
09/06/2024,Villa Cortese,Comunale,N/D,ALTERNATIVA POPOLARE,5,"0,18"
09/06/2024,ITALIA,Nazionale,N/D,FRATELLI D'ITALIA,1080,"38,92"
09/06/2024,ITALIA,Nazionale,N/D,PARTITO DEMOCRATICO,581,"20,94"
09/06/2024,ITALIA,Nazionale,N/D,LEGA SALVINI PREMIER,327,"11,78"
09/06/2024,ITALIA,Nazionale,N/D,FORZA ITALIA - NOI MODERATI - PPE,228,"8,22"
09/06/2024,ITALIA,Nazionale,N/D,MOVIMENTO 5 STELLE,164,"5,91"
09/06/2024,ITALIA,Nazionale,N/D,ALLEANZA VERDI E SINISTRA,151,"5,44"
09/06/2024,ITALIA,Nazionale,N/D,AZIONE - SIAMO EUROPEI,109,"3,93"
09/06/2024,ITALIA,Nazionale,N/D,STATI UNITI D'EUROPA,63,"2,27"
09/06/2024,ITALIA,Nazionale,N/D,PACE TERRA DIGNITA',42,"1,51"
09/06/2024,ITALIA,Nazionale,N/D,LIBERTA',17,"0,61"
09/06/2024,ITALIA,Nazionale,N/D,RASSEMBLEMENT VALDOTAIN,8,"0,29"
09/06/2024,ITALIA,Nazionale,N/D,ALTERNATIVA POPOLARE,5,"0,18"
