Data,Ente,Ambito,Candidato_Riferimento,Lista/Partito,Voti,Percentuale
25/09/2022,Villa Cortese,Comunale,RAUTI ISABELLA,Voti candidato uninominale,,"54,24"
25/09/2022,Villa Cortese,Comunale,RAUTI ISABELLA,FRATELLI D'ITALIA CON GIORGIA MELONI,948,"29,11"
25/09/2022,Villa Cortese,Comunale,RAUTI ISABELLA,LEGA PER SALVINI PREMIER,563,"17,29"
25/09/2022,Villa Cortese,Comunale,RAUTI ISABELLA,FORZA ITALIA,266,"8,17"
25/09/2022,Villa Cortese,Comunale,RAUTI ISABELLA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,14,"0,43"
25/09/2022,Villa Cortese,Comunale,FIANO EMANUELE,Voti candidato uninominale,,"26,46"
25/09/2022,Villa Cortese,Comunale,FIANO EMANUELE,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,634,"19,47"
25/09/2022,Villa Cortese,Comunale,FIANO EMANUELE,ALLEANZA VERDI E SINISTRA,114,"3,50"
25/09/2022,Villa Cortese,Comunale,FIANO EMANUELE,+EUROPA,87,"2,67"
25/09/2022,Villa Cortese,Comunale,FIANO EMANUELE,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,8,"0,25"
25/09/2022,Villa Cortese,Comunale,DEMMA TIZIANA,Voti candidato uninominale,,"7,34"
25/09/2022,Villa Cortese,Comunale,DEMMA TIZIANA,AZIONE - ITALIA VIVA - CALENDA,232,"7,12"
25/09/2022,Villa Cortese,Comunale,SIRONI ELENA,Voti candidato uninominale,,"6,67"
25/09/2022,Villa Cortese,Comunale,SIRONI ELENA,MOVIMENTO 5 STELLE,218,"6,69"
25/09/2022,Villa Cortese,Comunale,MAZZA SAMANTHA,Voti candidato uninominale,,"1,72"
25/09/2022,Villa Cortese,Comunale,MAZZA SAMANTHA,ITALEXIT PER L'ITALIA,57,"1,75"
25/09/2022,Villa Cortese,Comunale,VALLICELLI ALBERTO,Voti candidato uninominale,,"1,51"
25/09/2022,Villa Cortese,Comunale,VALLICELLI ALBERTO,ITALIA SOVRANA E POPOLARE,51,"1,57"
25/09/2022,Villa Cortese,Comunale,ROSA NADIA,Voti candidato uninominale,,"1,16"
25/09/2022,Villa Cortese,Comunale,ROSA NADIA,UNIONE POPOLARE CON DE MAGISTRIS,37,"1,14"
25/09/2022,Villa Cortese,Comunale,GEMMA GIANNI,Voti candidato uninominale,,"0,55"
25/09/2022,Villa Cortese,Comunale,GEMMA GIANNI,VITA,17,"0,52"
25/09/2022,Villa Cortese,Comunale,CORRENTI MAURIZIO,Voti candidato uninominale,,"0,35"
25/09/2022,Villa Cortese,Comunale,CORRENTI MAURIZIO,MASTELLA NOI DI CENTRO EUROPEISTI,11,"0,34"
25/09/2022,ITALIA,Nazionale,RAUTI ISABELLA,Voti candidato uninominale,,"54,24"
25/09/2022,ITALIA,Nazionale,RAUTI ISABELLA,FRATELLI D'ITALIA CON GIORGIA MELONI,948,"29,11"
25/09/2022,ITALIA,Nazionale,RAUTI ISABELLA,LEGA PER SALVINI PREMIER,563,"17,29"
